substrate_name,substrate_smiles,substrate_basic_side_chain_atoms,substrate_basic_side_chain_hetero_atoms,substrate_basic_is_aromatic,substrate_basic_has_sulfur,substrate_basic_has_amide,substrate_basic_hydropathy,substrate_basic_side_chain_volume,substrate_rdkit_mol_wt,substrate_rdkit_tpsa,substrate_rdkit_logp,substrate_rdkit_hbd,substrate_rdkit_hba,substrate_rdkit_rot_bonds,substrate_rdkit_ring_count,substrate_rdkit_fraction_csp3,substrate_rdkit_heavy_atom_count,substrate_morgan_000,substrate_morgan_001,substrate_morgan_002,substrate_morgan_003,substrate_morgan_004,substrate_morgan_005,substrate_morgan_006,substrate_morgan_007,substrate_morgan_008,substrate_morgan_009,substrate_morgan_010,substrate_morgan_011,substrate_morgan_012,substrate_morgan_013,substrate_morgan_014,substrate_morgan_015,substrate_morgan_016,substrate_morgan_017,substrate_morgan_018,substrate_morgan_019,substrate_morgan_020,substrate_morgan_021,substrate_morgan_022,substrate_morgan_023,substrate_morgan_024,substrate_morgan_025,substrate_morgan_026,substrate_morgan_027,substrate_morgan_028,substrate_morgan_029,substrate_morgan_030,substrate_morgan_031,substrate_morgan_032,substrate_morgan_033,substrate_morgan_034,substrate_morgan_035,substrate_morgan_036,substrate_morgan_037,substrate_morgan_038,substrate_morgan_039,substrate_morgan_040,substrate_morgan_041,substrate_morgan_042,substrate_morgan_043,substrate_morgan_044,substrate_morgan_045,substrate_morgan_046,substrate_morgan_047,substrate_morgan_048,substrate_morgan_049,substrate_morgan_050,substrate_morgan_051,substrate_morgan_052,substrate_morgan_053,substrate_morgan_054,substrate_morgan_055,substrate_morgan_056,substrate_morgan_057,substrate_morgan_058,substrate_morgan_059,substrate_morgan_060,substrate_morgan_061,substrate_morgan_062,substrate_morgan_063,substrate_morgan_064,substrate_morgan_065,substrate_morgan_066,substrate_morgan_067,substrate_morgan_068,substrate_morgan_069,substrate_morgan_070,substrate_morgan_071,substrate_morgan_072,substrate_morgan_073,substrate_morgan_074,substrate_morgan_075,substrate_morgan_076,substrate_morgan_077,substrate_morgan_078,substrate_morgan_079,substrate_morgan_080,substrate_morgan_081,substrate_morgan_082,substrate_morgan_083,substrate_morgan_084,substrate_morgan_085,substrate_morgan_086,substrate_morgan_087,substrate_morgan_088,substrate_morgan_089,substrate_morgan_090,substrate_morgan_091,substrate_morgan_092,substrate_morgan_093,substrate_morgan_094,substrate_morgan_095,substrate_morgan_096,substrate_morgan_097,substrate_morgan_098,substrate_morgan_099,substrate_morgan_100,substrate_morgan_101,substrate_morgan_102,substrate_morgan_103,substrate_morgan_104,substrate_morgan_105,substrate_morgan_106,substrate_morgan_107,substrate_morgan_108,substrate_morgan_109,substrate_morgan_110,substrate_morgan_111,substrate_morgan_112,substrate_morgan_113,substrate_morgan_114,substrate_morgan_115,substrate_morgan_116,substrate_morgan_117,substrate_morgan_118,substrate_morgan_119,substrate_morgan_120,substrate_morgan_121,substrate_morgan_122,substrate_morgan_123,substrate_morgan_124,substrate_morgan_125,substrate_morgan_126,substrate_morgan_127
D-Ala,C[C@@H](C(=O)O)N,1.0,0.0,0.0,0.0,0.0,1.8,88.6,89.09400000000001,63.31999999999999,-0.5817999999999999,2,2,1,0,0.6666666666666666,6,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
D-Asn,C([C@H](C(=O)O)N)C(=O)N,3.0,1.0,0.0,0.0,1.0,-3.5,114.1,132.11899999999997,106.40999999999998,-1.7262999999999993,3,3,3,0,0.5,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
D-Gln,C(CC(=O)N)[C@H](C(=O)O)N,4.0,1.0,0.0,0.0,1.0,-3.5,143.8,146.146,106.41,-1.336199999999999,3,3,4,0,0.6,10,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
D-Met,CSCC[C@H](C(=O)O)N,4.0,1.0,0.0,1.0,0.0,1.9,162.9,149.215,63.31999999999999,0.15140000000000003,2,3,4,0,0.8,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
D-Phe,C1=CC=C(C=C1)C[C@H](C(=O)O)N,7.0,0.0,1.0,0.0,0.0,2.8,189.9,165.19199999999998,63.31999999999999,0.641,2,2,3,1,0.2222222222222222,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
